주문일자,지점,카테고리,매출액,수량
2024-02-03,본점,패션,153024,2
2024-02-04,잠실점,도서,63215,6
2024-02-13,강남점,스포츠,174261,3
2024-03-05,부산점,식품,21316,1
2024-03-22,부산점,식품,,1
2024-02-12,강남점,스포츠,76670,2
2024-02-26,대구점,스포츠,120115,5
2024-01-02,본점,패션,47073,5
2024-01-05,잠실점,도서,152841,2
2024-02-25,강남점,패션,88808,3
2024-01-06,잠실점,가전,73412,6
2024-01-14,잠실점,도서,114529,5
2024-01-20,강남점,가전,54413,4
2024-01-04,강남점,스포츠,95080,4
2024-03-26,강남점,식품,49732,6
2024-01-14,부산점,패션,131388,2
2024-01-26,부산점,식품,88003,2
2024-01-29,본점,스포츠,58627,4
2024-02-12,잠실점,패션,81170,3
2024-03-23,대구점,뷰티,148565,3
2024-01-04,본점,식품,54810,5
2024-02-03,본점,패션,164387,4
2024-02-14,잠실점,뷰티,166914,5
2024-01-15,부산점,도서,57828,3
2024-01-06,부산점,패션,144293,5
2024-03-28,강남점,식품,121062,1
2024-03-26,잠실점,도서,90291,6
2024-01-16,잠실점,도서,89077,6
2024-02-22,잠실점,뷰티,85504,5
2024-01-17,강남점,뷰티,107390,6
2024-01-23,대구점,도서,86892,4
2024-03-11,본점,식품,83212,2
2024-02-25,대구점,도서,179627,3
2024-02-29,부산점,뷰티,64020,5
2024-03-01,강남점,스포츠,30228,3
2024-03-06,대구점,식품,32480,2
2024-03-27,잠실점,가전,60200,2
2024-01-04,본점,가전,132554,5
2024-01-10,부산점,뷰티,173089,5
2024-01-25,부산점,뷰티,112766,2
2024-01-19,본점,패션,4700000,2
2024-01-23,대구점,뷰티,21164,5
2024-02-01,본점,뷰티,42954,4
2024-03-26,대구점,도서,164094,3
2024-02-26,대구점,스포츠,140324,4
2024-03-11,부산점,가전,132433,4
2024-02-03,강남점,스포츠,80695,5
2024-03-03,강남점,식품,5000000,1
2024-02-06,강남점,식품,96040,3
2024-03-10,본점,가전,47539,2
2024-02-19,강남점,스포츠,64086,1
2024-02-23,부산점,식품,150242,4
2024-02-23,본점,가전,118138,4
2024-03-15,본점,도서,107714,4
2024-01-01,잠실점,식품,110232,4
2024-03-09,대구점,도서,65812,4
2024-01-29,잠실점,뷰티,135308,1
2024-02-19,잠실점,스포츠,113989,6
2024-01-22,부산점,가전,171120,5
2024-01-04,부산점,도서,3850000,6
2024-01-04,본점,스포츠,120358,2
2024-02-29,강남점,패션,76198,4
2024-02-11,강남점,뷰티,93680,3
2024-02-18,잠실점,뷰티,74131,1
2024-03-01,본점,스포츠,149405,1
2024-02-14,강남점,스포츠,25987,6
2024-01-06,본점,가전,60261,1
2024-03-20,강남점,가전,41088,4
2024-03-26,본점,도서,65138,4
2024-03-30,,식품,51984,
2024-03-18,본점,가전,89536,1
2024-03-15,본점,식품,158941,6
2024-02-18,부산점,스포츠,59990,
2024-03-16,강남점,패션,87058,6
2024-03-17,본점,도서,18766,3
2024-03-09,부산점,스포츠,105142,1
2024-03-05,잠실점,패션,,4
2024-01-14,부산점,식품,174614,4
2024-01-20,부산점,가전,144772,6
2024-02-04,대구점,도서,134745,4
2024-02-25,대구점,식품,92490,2
2024-01-12,잠실점,뷰티,71927,4
2024-03-13,대구점,스포츠,107349,3
2024-01-04,부산점,식품,55668,4
2024-01-28,잠실점,식품,97217,3
2024-03-17,잠실점,도서,10661,5
2024-01-25,본점,가전,114542,4
2024-03-12,강남점,스포츠,132804,6
2024-03-03,부산점,패션,32393,3
2024-01-29,부산점,스포츠,71780,3
2024-03-25,대구점,식품,132062,5
2024-03-08,잠실점,뷰티,152281,3
2024-02-15,부산점,식품,88379,3
2024-01-30,본점,스포츠,58484,3
2024-01-16,대구점,스포츠,,
2024-01-28,부산점,식품,6100000,5
2024-03-17,잠실점,패션,58886,3
2024-01-30,잠실점,가전,87237,1
2024-03-09,강남점,식품,19931,1
2024-03-11,잠실점,스포츠,41103,6
2024-03-03,본점,패션,158487,3
2024-03-01,부산점,뷰티,97314,2
2024-01-07,잠실점,뷰티,37907,1
2024-02-21,부산점,패션,159262,6
2024-03-28,본점,가전,47111,5
2024-02-08,본점,가전,39051,5
2024-02-23,대구점,도서,170114,2
2024-03-07,부산점,뷰티,124056,3
2024-03-16,부산점,식품,157062,5
2024-01-08,대구점,스포츠,34013,2
2024-03-21,강남점,식품,,2
2024-01-31,강남점,도서,27677,2
2024-01-01,부산점,뷰티,163664,4
2024-02-07,본점,가전,83524,6
2024-02-06,부산점,패션,69190,3
2024-03-21,,스포츠,59857,4
2024-01-15,대구점,가전,177773,2
2024-02-04,,패션,23633,
2024-02-09,대구점,스포츠,157214,3
2024-02-26,본점,뷰티,87715,6
2024-02-21,잠실점,도서,149552,4
2024-02-26,본점,도서,18449,4
