order_id,order_date,customer_id,category,region,channel,quantity,unit_price,discount_rate,returned,delivery_days,rating
O00027,2025-07-13,C0232,Electronics,Seoul,Web,2,163900.0,0.1,0,1.0,4.0
O00028,2025-01-19,C0072,Fashion,Incheon,App,1,57200.0,0.1,0,3.0,3.0
O00029,2025-03-05,C0254,Food,Daejeon,App,2,24300.0,0.0,0,2.0,5.0
O00030,2025-10-10,C0249,Fashion,Incheon,Web,1,50400.0,0.1,0,7.0,3.0
O00031,2025-11-03,C0140,Electronics,Busan,App,4,114000.0,0.1,1,2.0,3.0
O00032,2025-12-24,C0164,Home,Seoul,Web,1,35400.0,0.0,0,6.0,5.0
O00033,2025-05-15,C0012,Electronics,Busan,Web,2,139300.0,0.2,0,2.0,4.0
O00034,2025-06-03,C0229,Fashion,Busan,Web,2,44900.0,0.1,0,5.0,4.0
O00035,2025-07-14,C0289,Home,Daejeon,App,1,42400.0,0.1,0,1.0,5.0
O00036,2025-03-20,C0142,Home,Incheon,App,1,26800.0,0.0,0,3.0,5.0
O00037,2025-02-23,C0163,Food,Seoul,App,1,23100.0,0.0,0,5.0,4.0
O00038,2025-07-16,C0150,Food,Seoul,Web,3,15200.0,0.1,0,5.0,3.0
O00039,2025-04-04,C0025,Books,Daejeon,Web,2,21800.0,0.1,0,7.0,3.0
O00040,2025-10-05,C0186,Electronics,Daejeon,App,2,97100.0,0.05,0,6.0,3.0
O00041,2025-06-30,C0217,Fashion,Daegu,Web,2,35600.0,0.0,0,4.0,5.0
O00042,2025-11-23,C0279,Electronics,Seoul,App,3,152200.0,0.2,0,3.0,3.0
O00043,2025-10-17,C0279,Electronics,Seoul,App,1,152800.0,0.0,0,2.0,5.0
O00044,2025-05-10,C0148,Fashion,Seoul,App,1,54800.0,0.0,0,7.0,3.0
O00045,2025-11-23,C0288,Home,Daegu,App,30,48000.0,0.1,0,5.0,4.0
O00046,2025-11-17,C0159,Books,,App,1,14200.0,0.0,0,7.0,2.0
O00047,2025-06-10,C0193,Food,Daejeon,App,3,23000.0,0.0,0,4.0,3.0
O00048,2025-04-30,C0181,Food,Seoul,App,1,17000.0,0.0,0,4.0,3.0
O00049,2025-10-10,C0300,Food,Seoul,App,1,19400.0,0.2,0,6.0,3.0
O00050,2025-02-27,C0222,Electronics,Daejeon,Web,3,121400.0,0.0,0,6.0,3.0
O00051,2025-03-24,C0037,Books,Daejeon,App,1,11300.0,0.1,0,2.0,4.0
O00052,2025-01-04,C0022,Books,Daegu,Web,1,17600.0,0.3,0,4.0,5.0
O00053,2025-11-13,C0123,Electronics,Seoul,App,1,146800.0,0.1,0,2.0,4.0
O00054,2025-10-03,C0155,Home,Seoul,App,2,28800.0,0.05,0,6.0,3.0
O00055,2025-10-19,C0201,Books,Seoul,App,3,21600.0,0.05,0,1.0,4.0
O00056,2025-11-11,C0145,Home,Daegu,App,1,37500.0,0.05,0,6.0,4.0
O00057,2025-07-09,C0155,Books,Daejeon,App,1,13200.0,0.1,0,7.0,3.0
O00058,2025-08-24,C0277,Books,Daegu,Web,1,18400.0,0.3,0,,5.0
O00059,2025-02-27,C0101,Home,Busan,Web,4,29200.0,0.1,0,5.0,3.0
O00060,2025-02-17,C0149,Electronics,Daegu,Web,1,89300.0,0.05,0,1.0,4.0
O00061,2025-10-04,C0168,Fashion,Seoul,App,4,53100.0,0.0,0,3.0,3.0
O00062,2025-07-14,C0141,Fashion,Daejeon,App,3,35000.0,0.2,0,3.0,5.0
O00063,2025-08-22,C0291,Home,Daejeon,Web,1,27100.0,0.0,0,4.0,4.0
O00064,2025-11-07,C0289,Home,Daegu,App,3,42600.0,0.2,0,7.0,3.0
O00065,2025-09-20,C0154,Home,Daejeon,Web,2,25900.0,0.0,0,4.0,4.0
O00066,2025-08-18,C0136,Electronics,Incheon,App,1,152000.0,0.1,0,3.0,4.0
O00067,2025-08-20,C0177,Fashion,Incheon,App,1,56600.0,0.2,0,1.0,4.0
O00068,2025-05-06,C0055,Food,Busan,Web,3,14400.0,0.05,0,7.0,4.0
O00069,2025-01-13,C0128,Electronics,Daejeon,App,3,127500.0,0.0,0,3.0,4.0
O00070,2025-06-30,C0066,Fashion,Daegu,App,2,34500.0,0.2,0,4.0,5.0
O00071,2025-03-30,C0044,Books,Seoul,Web,5,18300.0,0.05,0,1.0,
O00072,2025-06-19,C0029,Electronics,Daejeon,App,1,89300.0,0.0,0,3.0,5.0
O00073,2025-11-28,C0177,Home,Seoul,App,3,47600.0,0.05,0,4.0,5.0
O00074,2025-04-07,C0001,Fashion,Incheon,App,3,38000.0,0.05,0,7.0,3.0
O00075,2025-01-25,C0194,Electronics,Seoul,App,1,141400.0,0.1,0,3.0,5.0
O00076,2025-04-27,C0130,Home,Daegu,App,1,27600.0,0.0,0,4.0,4.0
O00077,2025-05-02,C0110,Home,Incheon,Web,1,29600.0,0.05,0,7.0,5.0
O00078,2025-10-01,C0231,Electronics,Incheon,App,3,121900.0,0.2,0,3.0,5.0
O00079,2025-08-19,C0162,Electronics,Daegu,App,1,132100.0,0.0,1,3.0,4.0
O00080,2025-11-12,C0221,Electronics,Daegu,Web,30,167900.0,0.05,1,1.0,5.0
O00081,2025-10-02,C0213,Food,Busan,Web,1,12900.0,0.1,0,7.0,5.0
O00082,2025-06-18,C0010,Books,Daejeon,Web,1,11200.0,0.2,0,1.0,4.0
O00083,2025-11-19,C0065,Electronics,Incheon,App,2,113400.0,0.1,0,2.0,5.0
O00084,2025-03-11,C0171,Fashion,Seoul,App,1,43000.0,0.2,0,1.0,5.0
O00085,2025-01-10,C0293,Fashion,Seoul,App,3,59300.0,0.0,0,5.0,3.0
O00086,2025-02-07,C0047,Fashion,Busan,Web,1,60200.0,0.05,0,3.0,4.0
O00087,2025-10-26,C0032,Fashion,Daegu,Web,3,59200.0,0.2,0,5.0,2.0
O00088,2025-07-11,C0283,Electronics,Incheon,App,1,96000.0,0.2,0,5.0,4.0
O00089,2025-03-08,C0291,Home,Busan,App,5,34600.0,0.1,0,1.0,4.0
O00090,2025-07-27,C0051,Fashion,Incheon,App,2,55000.0,0.05,0,3.0,4.0
O00091,2025-03-05,C0121,Fashion,Daejeon,App,1,41300.0,0.05,0,1.0,5.0
O00092,2025-10-16,C0188,Fashion,Incheon,App,1,52400.0,0.0,0,1.0,4.0
O00093,2025-07-04,C0059,Books,Seoul,App,1,13900.0,0.2,0,4.0,4.0
O00094,2025-06-07,C0098,Food,Seoul,App,2,16700.0,0.2,0,2.0,
O00095,2025-05-05,C0119,Home,Incheon,App,3,45600.0,0.05,0,1.0,4.0
O00096,2025-09-18,C0193,Fashion,Incheon,Web,1,39400.0,0.0,0,3.0,5.0
O00097,2025-05-30,C0093,Books,Daejeon,Web,1,22000.0,0.0,0,4.0,5.0
O00098,2025-02-06,C0124,Books,Incheon,Web,2,14600.0,0.0,0,7.0,3.0
O00099,2025-02-18,C0087,Electronics,Daegu,Web,2,86000.0,0.1,1,5.0,3.0
O00100,2025-12-23,C0228,Books,Incheon,Web,2,14100.0,0.1,0,3.0,4.0
O00101,2025-12-10,C0046,Food,Busan,App,1,14800.0,0.0,0,4.0,4.0
O00102,2025-10-17,C0070,Electronics,Daegu,Web,2,126600.0,0.1,0,1.0,4.0
O00103,2025-04-21,C0075,Food,Daegu,App,5,14000.0,0.3,1,3.0,5.0
O00104,2025-12-24,C0272,Electronics,Daegu,App,1,136600.0,0.0,0,5.0,3.0
O00105,2025-11-11,C0284,Electronics,Seoul,App,1,157500.0,0.05,1,1.0,4.0
O00106,2025-10-24,C0151,Electronics,Daegu,App,1,114500.0,0.05,0,7.0,4.0
O00107,2025-07-05,C0047,Home,Busan,Web,2,28600.0,0.0,0,4.0,3.0
O00108,2025-04-23,C0227,Food,Daegu,App,1,17600.0,0.05,0,6.0,4.0
O00109,2025-02-09,C0148,Home,Daegu,Web,4,43800.0,0.1,0,2.0,4.0
O00110,2025-12-09,C0255,Electronics,Daegu,App,2,133700.0,0.0,0,6.0,
O00111,2025-07-08,C0108,Electronics,Daejeon,Web,2,92500.0,0.0,1,3.0,4.0
O00112,2025-03-25,C0300,Books,Incheon,Web,3,17200.0,0.2,0,7.0,2.0
O00113,2025-05-07,C0243,Books,Seoul,App,1,16400.0,0.0,0,4.0,5.0
O00114,2025-08-28,C0068,Food,Daegu,App,3,16700.0,0.1,0,5.0,4.0
O00115,2025-03-15,C0218,Electronics,Daegu,App,1,93300.0,0.1,0,2.0,5.0
O00116,2025-11-29,C0087,Books,Seoul,App,2,22200.0,0.2,1,7.0,4.0
O00117,2025-11-06,C0105,Food,Seoul,Web,4,14800.0,0.1,0,2.0,4.0
O00118,2025-10-25,C0076,Home,Busan,App,2,29200.0,0.2,0,1.0,3.0
O00119,2025-06-28,C0205,Electronics,Daejeon,Web,3,96200.0,0.1,1,4.0,3.0
O00120,2025-09-17,C0079,Books,Incheon,Web,1,17600.0,0.05,0,6.0,3.0
O00121,2025-08-30,C0192,Home,Daejeon,Web,3,35400.0,0.05,0,7.0,5.0
O00122,2025-09-26,C0175,Electronics,Daejeon,Web,2,105000.0,0.05,0,6.0,3.0
O00123,2025-02-04,C0226,Fashion,Incheon,Web,2,45000.0,0.05,0,4.0,5.0
O00124,2025-06-22,C0299,Home,Daegu,App,1,41000.0,0.0,0,7.0,3.0
O00125,2025-01-18,C0003,Electronics,Busan,Web,1,107700.0,0.05,0,4.0,4.0
O00126,2025-07-24,C0298,Fashion,Seoul,Web,2,60300.0,0.05,0,4.0,4.0
O00127,2025-05-17,C0033,Home,,App,1,32000.0,0.0,0,2.0,5.0
O00128,2025-03-01,C0159,Books,Incheon,Web,2,13400.0,0.0,0,6.0,4.0
O00129,2025-02-12,C0103,Electronics,Seoul,App,3,164200.0,0.1,0,3.0,3.0
O00130,2025-09-01,C0192,Home,Busan,App,4,44400.0,0.1,0,2.0,5.0
O00131,2025-03-12,C0217,Books,Seoul,App,1,15000.0,0.2,0,3.0,4.0
O00132,2025-12-14,C0258,Books,Daegu,App,4,20600.0,0.05,0,5.0,3.0
O00133,2025-08-29,C0121,Books,Daejeon,Web,1,17000.0,0.2,0,2.0,2.0
O00134,2025-05-24,C0280,Electronics,Daejeon,Web,1,113100.0,0.1,0,3.0,5.0
O00135,2025-09-02,C0097,Books,Busan,App,3,20600.0,0.0,0,3.0,4.0
O00136,2025-01-10,C0062,Books,Incheon,App,1,19600.0,0.3,0,5.0,4.0
O00137,2025-12-22,C0114,Fashion,Daejeon,App,1,40900.0,0.0,0,5.0,3.0
O00138,2025-07-19,C0159,Home,Incheon,Web,1,39400.0,0.1,0,5.0,3.0
O00139,2025-11-12,C0201,Home,Busan,App,1,33600.0,0.1,0,1.0,4.0
O00140,2025-02-04,C0250,Home,Busan,Web,3,24500.0,0.0,0,3.0,5.0
O00141,2025-07-21,C0068,Fashion,Daegu,Web,1,61800.0,0.1,0,5.0,4.0
O00142,2025-07-23,C0091,Books,Incheon,Web,1,17400.0,0.05,0,2.0,4.0
O00143,2025-12-17,C0282,Books,Daejeon,App,2,17900.0,0.0,0,1.0,5.0
O00144,2025-08-25,C0132,Fashion,Daejeon,Web,1,50400.0,0.0,0,3.0,4.0
O00145,2025-07-15,C0073,Books,Seoul,App,2,17400.0,0.0,0,5.0,
O00146,2025-04-21,C0296,Fashion,Daegu,App,4,40600.0,0.0,0,5.0,4.0
O00147,2025-05-18,C0135,Food,Busan,App,2,24800.0,0.1,1,1.0,4.0
O00148,2025-08-04,C0296,Home,Incheon,App,3,39700.0,0.05,0,5.0,4.0
O00149,2025-07-01,C0276,Home,Busan,App,1,40900.0,0.05,0,2.0,3.0
O00150,2025-01-09,C0272,Electronics,Busan,Web,3,122200.0,0.1,0,6.0,3.0
O00151,2025-11-22,C0175,Food,Busan,Web,1,16200.0,0.0,0,4.0,
O00152,2025-12-08,C0240,Fashion,Seoul,App,1,33500.0,0.0,0,1.0,5.0
O00153,2025-02-28,C0289,Fashion,Daegu,Web,2,42500.0,0.1,0,3.0,5.0
O00154,2025-08-18,C0081,Electronics,Seoul,Web,1,98800.0,0.2,0,6.0,
O00155,2025-02-14,C0012,Books,Busan,Web,3,18600.0,0.05,0,4.0,5.0
O00156,2025-10-06,C0097,Electronics,Seoul,Web,2,-1000.0,0.0,0,5.0,5.0
O00157,2025-04-27,C0192,Food,Seoul,Web,4,16400.0,0.1,0,6.0,4.0
O00158,2025-09-30,C0165,Books,Busan,Web,1,14900.0,0.2,0,1.0,4.0
O00159,2025-10-28,C0025,Electronics,Daejeon,App,1,140300.0,0.05,0,7.0,3.0
O00160,2025-11-08,C0169,Home,Daejeon,Web,2,28200.0,0.0,1,3.0,4.0
O00161,2025-02-14,C0053,Home,Busan,App,1,47300.0,0.0,0,6.0,3.0
O00162,2025-12-12,C0152,Fashion,Incheon,App,2,43000.0,0.1,0,4.0,4.0
O00163,2025-04-06,C0173,Food,Daejeon,Web,2,13900.0,0.2,0,5.0,5.0
O00164,2025-01-16,C0192,Home,Busan,App,4,28800.0,0.1,0,3.0,5.0
O00165,2025-08-18,C0124,Home,,App,2,47400.0,0.0,0,6.0,2.0
O00166,2025-06-03,C0123,Home,Seoul,App,1,30600.0,0.1,0,1.0,4.0
O00167,2025-11-22,C0204,Books,Busan,Web,-1,18600.0,0.2,0,7.0,3.0
O00168,2025-11-17,C0225,Food,Busan,Web,2,14600.0,0.05,0,2.0,5.0
O00169,2025-05-12,C0243,Fashion,Seoul,Web,1,37600.0,0.2,0,7.0,4.0
O00170,2025-12-21,C0101,Books,Daejeon,App,1,21000.0,0.05,0,1.0,5.0
O00171,2025-05-01,C0128,Books,Daejeon,App,1,12900.0,0.0,0,1.0,4.0
O00172,2025-08-02,C0100,Books,Busan,App,1,11400.0,0.1,0,1.0,4.0
O00173,2025-04-16,C0159,Food,Daejeon,App,1,18900.0,0.05,0,4.0,4.0
O00174,2025-12-17,C0039,Fashion,Daegu,App,1,58700.0,0.3,0,2.0,4.0
O00175,2025-03-10,C0130,Food,Daejeon,App,2,16700.0,0.05,0,5.0,4.0
O00176,2025-01-19,C0057,Fashion,Daejeon,Web,1,35500.0,0.05,0,6.0,3.0
O00177,2025-06-30,C0160,Fashion,Incheon,App,2,62400.0,0.05,0,1.0,3.0
O00178,2025-12-30,C0256,Home,Seoul,Web,1,41100.0,0.05,1,,4.0
O00179,2025-12-07,C0296,Books,Daejeon,Web,3,20700.0,0.05,0,6.0,3.0
O00180,2025-11-04,C0134,Home,Daegu,App,1,42900.0,0.1,0,3.0,5.0
O00181,2025-12-06,C0017,Fashion,Daejeon,App,2,53500.0,0.05,0,7.0,3.0
O00182,2025-12-07,C0069,Home,Daejeon,Web,1,33900.0,0.05,0,5.0,3.0
O00183,2025-08-03,C0032,Fashion,Seoul,App,1,41700.0,0.1,1,1.0,5.0
O00184,2025-05-11,C0228,Food,Incheon,Web,1,21600.0,0.0,1,4.0,2.0
O00185,2025-11-09,C0296,Fashion,Seoul,Web,3,54100.0,0.1,0,3.0,3.0
O00186,2025-10-01,C0167,Home,Seoul,Web,3,47800.0,0.05,0,1.0,5.0
O00187,2025-06-04,C0054,Fashion,Daejeon,App,1,49400.0,0.05,1,7.0,3.0
O00188,2025-02-09,C0007,Fashion,,App,1,40800.0,0.1,1,2.0,5.0
O00189,2025-11-03,C0293,Books,Daejeon,Web,2,16700.0,0.1,0,1.0,3.0
O00190,2025-04-19,C0095,Fashion,Daejeon,Web,2,50800.0,0.2,0,,4.0
O00191,2025-12-17,C0034,Electronics,Daegu,Web,1,119800.0,0.05,0,6.0,3.0
O00192,2025-04-10,C0054,Fashion,Incheon,Web,2,56400.0,0.0,1,5.0,5.0
O00193,2025-02-20,C0077,Home,Daejeon,App,1,38800.0,0.1,0,6.0,4.0
O00194,2025-11-23,C0197,Electronics,Incheon,App,2,84800.0,0.1,0,4.0,5.0
O00195,2025-03-05,C0268,Fashion,Daegu,App,1,49400.0,0.1,0,1.0,5.0
O00196,2025-03-16,C0083,Electronics,Busan,Web,1,137200.0,0.1,0,3.0,4.0
O00197,2025-09-06,C0207,Home,Daegu,App,1,46900.0,0.1,0,2.0,5.0
O00198,2025-12-03,C0020,Food,Daejeon,Web,2,17800.0,0.0,0,4.0,3.0
O00199,2025-03-23,C0004,Books,Daegu,Web,1,17600.0,0.1,0,2.0,4.0
O00200,2025-05-09,C0017,Fashion,Incheon,App,2,46500.0,0.0,1,7.0,4.0
O00201,2025-11-10,C0277,Books,Seoul,App,3,17200.0,0.05,0,3.0,3.0
O00202,2025-12-25,C0175,Fashion,Seoul,App,2,33600.0,0.1,0,3.0,5.0
O00203,2025-07-27,C0242,Food,Daegu,App,1,23900.0,0.05,0,7.0,3.0
O00204,2025-03-01,C0007,Home,Daegu,App,1,46800.0,0.05,0,4.0,5.0
O00205,2025-01-06,C0007,Food,Daegu,App,1,19500.0,0.2,0,2.0,4.0
O00206,2025-04-06,C0255,Food,Daejeon,App,2,19600.0,0.1,0,4.0,4.0
O00207,2025-02-24,C0031,Home,Incheon,Web,3,25900.0,0.05,0,2.0,5.0
O00208,2025-10-08,C0047,Fashion,Daejeon,Web,1,50300.0,0.3,0,6.0,3.0
O00209,2025-02-20,C0156,Home,Daegu,Web,3,35000.0,0.05,0,5.0,3.0
O00210,2025-07-29,C0182,Books,Busan,Web,1,19100.0,0.1,0,6.0,4.0
O00211,2025-10-15,C0069,Books,Daejeon,Web,1,11700.0,0.0,1,7.0,3.0
O00212,2025-08-29,C0134,Books,Seoul,App,1,19200.0,0.0,0,6.0,3.0
O00213,2025-03-24,C0203,Electronics,Incheon,App,2,108100.0,0.0,0,3.0,4.0
O00214,2025-11-16,C0133,Home,Daejeon,App,1,40500.0,0.0,0,2.0,5.0
O00215,2025-10-24,C0115,Electronics,Daegu,Web,1,136700.0,0.05,0,4.0,4.0
O00216,2025-11-01,C0022,Food,Daejeon,App,2,15500.0,0.0,0,4.0,4.0
O00217,2025-02-24,C0136,Books,Seoul,Web,2,16100.0,0.1,0,3.0,3.0
O00218,2025-02-21,C0241,Electronics,Incheon,Web,1,154200.0,0.0,0,6.0,3.0
O00219,2025-12-15,C0189,Food,Daegu,Web,1,20200.0,0.0,0,7.0,4.0
O00220,2025-06-14,C0268,Books,Daegu,Web,1,12000.0,0.3,0,3.0,5.0
O00221,2025-05-05,C0038,Books,Daejeon,Web,1,16200.0,0.1,0,5.0,4.0
O00222,2025-07-22,C0004,Fashion,Incheon,App,1,41300.0,0.2,0,7.0,4.0
O00223,2025-10-02,C0165,Electronics,Daegu,App,2,137900.0,0.05,1,1.0,5.0
O00224,2025-12-21,C0054,Books,Incheon,App,1,18100.0,0.0,0,3.0,5.0
O00225,2025-04-29,C0179,Books,Daejeon,Web,2,11300.0,0.1,0,6.0,4.0
O00226,2025-12-14,C0272,Home,Seoul,App,1,39400.0,0.1,0,4.0,
O00227,2025-01-11,C0102,Books,Busan,App,1,19400.0,0.0,0,6.0,3.0
O00228,2025-08-18,C0165,Electronics,Seoul,Web,1,148600.0,0.2,0,4.0,3.0
O00229,2025-09-20,C0205,Food,Daegu,App,1,13300.0,0.1,1,1.0,5.0
O00230,2025-02-13,C0046,Electronics,Busan,App,1,109500.0,0.1,0,4.0,5.0
O00231,2025-02-28,C0270,Books,Busan,App,1,15900.0,0.05,0,3.0,5.0
O00232,2025-06-23,C0061,Food,Daejeon,Web,3,14900.0,0.1,0,6.0,5.0
O00233,2025-12-24,C0243,Books,Busan,App,3,15900.0,0.0,0,2.0,5.0
O00234,2025-09-04,C0198,Home,Seoul,Web,1,26200.0,0.3,0,2.0,5.0
O00235,2025-12-16,C0043,Electronics,Seoul,Web,2,93500.0,0.05,0,1.0,5.0
O00236,2025-11-17,C0218,Electronics,Busan,Web,2,140200.0,0.0,0,4.0,3.0
O00237,2025-07-13,C0059,Fashion,Daejeon,App,3,39800.0,0.0,0,7.0,3.0
O00238,2025-11-12,C0180,Food,Incheon,Web,1,21600.0,0.1,0,5.0,3.0
O00239,2025-01-08,C0288,Electronics,Daejeon,Web,1,88000.0,0.3,0,6.0,4.0
O00240,2025-02-15,C0286,Books,Busan,Web,1,17500.0,0.2,0,6.0,4.0
O00241,2025-11-22,C0262,Fashion,Busan,App,1,43800.0,0.1,0,5.0,4.0
O00242,2025-11-15,C0149,Home,Seoul,App,1,44000.0,0.3,0,5.0,4.0
O00243,2025-04-07,C0168,Fashion,Busan,App,3,56200.0,0.1,0,2.0,5.0
O00244,2025-08-08,C0091,Home,Incheon,Web,3,33700.0,0.0,0,7.0,1.0
O00245,2025-09-08,C0277,Home,Daejeon,Web,1,39800.0,0.1,1,6.0,4.0
O00246,2025-12-01,C0144,Electronics,Busan,App,1,103100.0,0.0,0,7.0,4.0
O00247,2025-09-07,C0232,Home,Daegu,Web,1,38700.0,0.0,0,7.0,5.0
O00248,2025-06-20,C0108,Food,Daegu,App,1,13600.0,0.05,1,3.0,5.0
O00249,2025-06-04,C0223,Books,Busan,App,2,16100.0,0.0,0,2.0,5.0
O00250,2025-06-26,C0068,Fashion,Daejeon,App,1,37300.0,0.3,0,7.0,3.0
O00251,2025-09-27,C0221,Books,Incheon,App,3,21100.0,0.3,0,4.0,4.0
O00252,2025-12-01,C0014,Books,Seoul,App,4,16200.0,0.05,0,7.0,4.0
O00253,2025-07-07,C0032,Books,Daejeon,Web,2,17800.0,0.1,0,5.0,4.0
O00254,2025-04-13,C0106,Fashion,Daejeon,App,2,42900.0,0.05,0,2.0,4.0
O00255,2025-04-08,C0145,Books,Seoul,Web,2,14400.0,0.0,1,3.0,4.0
O00256,2025-11-03,C0214,Home,Daejeon,App,1,29500.0,0.0,0,5.0,3.0
O00257,2025-11-19,C0108,Electronics,Daejeon,Web,1,160600.0,0.0,0,3.0,5.0
O00258,2025-02-13,C0006,Fashion,Daejeon,Web,2,56700.0,0.0,0,2.0,5.0
O00259,2025-01-28,C0098,Food,,App,1,14300.0,0.0,0,2.0,4.0
O00260,2025-09-03,C0132,Electronics,Daegu,Web,3,146700.0,0.0,0,5.0,3.0
O00261,2025-03-02,C0164,Home,Incheon,Web,1,34800.0,0.0,0,1.0,5.0
O00262,2025-11-21,C0194,Food,Daegu,App,1,12800.0,0.2,0,1.0,5.0
O00263,2025-05-09,C0075,Electronics,Daegu,Web,1,128400.0,0.0,0,1.0,4.0
O00264,2025-03-01,C0184,Home,Daegu,App,4,27700.0,0.0,0,6.0,2.0
O00265,2025-12-13,C0190,Fashion,Incheon,Web,1,38100.0,0.05,1,1.0,5.0
O00266,2025-03-10,C0233,Home,Daegu,Web,1,41600.0,0.05,0,3.0,3.0
O00267,2025-04-28,C0157,Fashion,Incheon,Web,1,39600.0,0.05,0,1.0,5.0
O00268,2025-03-05,C0244,Books,Seoul,App,2,21200.0,0.0,0,5.0,5.0
O00269,2025-02-17,C0067,Electronics,Seoul,App,5,139200.0,0.1,0,1.0,5.0
O00270,2025-01-09,C0214,Books,Daejeon,Web,1,20500.0,0.1,1,1.0,5.0
O00271,2025-01-23,C0014,Food,Daejeon,App,3,20400.0,0.1,0,3.0,5.0
O00272,2025-03-14,C0031,Books,Incheon,App,1,20900.0,0.1,0,5.0,5.0
O00273,2025-01-23,C0260,Books,Seoul,App,2,15300.0,0.05,0,1.0,3.0
O00274,2025-09-02,C0143,Electronics,Daegu,App,1,130100.0,0.05,0,4.0,4.0
O00275,2025-10-09,C0187,Books,Seoul,App,1,17000.0,0.0,1,6.0,4.0
O00276,2025-06-12,C0182,Home,Busan,App,2,-1000.0,0.05,0,5.0,3.0
O00277,2025-05-12,C0209,Books,Busan,App,2,13000.0,0.0,0,6.0,4.0
O00278,2025-07-28,C0074,Books,Seoul,App,1,17700.0,0.0,0,3.0,4.0
O00279,2025-12-03,C0054,Home,Daejeon,Web,3,43000.0,0.1,1,7.0,3.0
O00280,2025-11-27,C0013,Fashion,Incheon,Web,4,43200.0,0.0,1,2.0,4.0
O00281,2025-01-18,C0260,Electronics,Busan,App,1,156900.0,0.0,0,5.0,3.0
O00282,2025-03-17,C0068,Electronics,Incheon,Web,2,115300.0,0.1,0,4.0,4.0
O00283,2025-04-08,C0173,Fashion,Seoul,Web,3,37000.0,0.05,0,1.0,5.0
O00284,2025-04-14,C0137,Books,Incheon,Web,1,17700.0,0.2,0,7.0,3.0
O00285,2025-08-25,C0049,Home,Incheon,Web,3,34800.0,0.2,0,5.0,5.0
O00286,2025-06-22,C0125,Home,Busan,App,1,24900.0,0.3,0,2.0,5.0
O00287,2025-01-21,C0025,Fashion,Daejeon,App,2,33700.0,0.05,1,1.0,5.0
O00288,2025-06-04,C0054,Home,Busan,App,1,29300.0,0.0,0,5.0,3.0
O00289,2025-08-05,C0042,Food,Seoul,Web,1,22300.0,0.1,0,4.0,3.0
O00290,2025-02-12,C0248,Books,Incheon,App,2,21200.0,0.1,0,1.0,5.0
O00291,2025-11-23,C0171,Food,Daejeon,Web,2,19500.0,0.1,0,7.0,5.0
O00292,2025-01-22,C0278,Food,Busan,App,3,13900.0,0.0,0,6.0,5.0
O00293,2025-12-14,C0131,Books,Seoul,App,5,17200.0,0.0,0,4.0,4.0
O00294,2025-02-11,C0061,Home,Daejeon,App,1,45500.0,0.0,1,2.0,5.0
